[Header]
Manifest Version	1.2
ReferenceGenome	Homo_sapiens\UCSC\hg19\Sequence\WholeGenomeFASTA

[Regions]
Name	Chromosome	Start	End	Upstream Probe Length	Downstream Probe Length
CEX-chr1-12099-12258	chr1	12099	12258	0	0
CEX-chr1-12554-12721	chr1	12554	12721	0	0
CEX-chr1-13332-13701	chr1	13332	13701	0	0
CEX-chr1-30335-30503	chr1	30335	30503	0	0
CEX-chr1-35046-35544	chr1	35046	35544	0	0
CEX-chr1-35619-35778	chr1	35619	35778	0	0
CEX-chr1-69078-70017	chr1	69078	70017	0	0
CEX-chr1-324295-324394	chr1	324295	324394	0	0
CEX-chr1-324428-325605	chr1	324428	325605	0	0
CEX-chr1-327735-328214	chr1	327735	328214	0	0
CEX-chr1-367646-368605	chr1	367646	368605	0	0
CEX-chr1-621093-622042	chr1	621093	622042	0	0
CEX-chr1-664485-665108	chr1	664485	665108	0	0
CEX-chr1-721405-721918	chr1	721405	721918	0	0
CEX-chr1-762080-762571	chr1	762080	762571	0	0
CEX-chr1-861308-861407	chr1	861308	861407	0	0
CEX-chr1-865533-865718	chr1	865533	865718	0	0
CEX-chr1-866395-866494	chr1	866395	866494	0	0
CEX-chr1-871150-871278	chr1	871150	871278	0	0
CEX-chr1-874415-874514	chr1	874415	874514	0	0
CEX-chr1-874653-874842	chr1	874653	874842	0	0
CEX-chr1-876492-876688	chr1	876492	876688	0	0
CEX-chr1-877473-877683	chr1	877473	877683	0	0
CEX-chr1-877727-877879	chr1	877727	877879	0	0
CEX-chr1-877937-878440	chr1	877937	878440	0	0
CEX-chr1-878590-878759	chr1	878590	878759	0	0
CEX-chr1-879076-879535	chr1	879076	879535	0	0
CEX-chr1-880018-880182	chr1	880018	880182	0	0
CEX-chr1-880422-880528	chr1	880422	880528	0	0
CEX-chr1-880896-881035	chr1	880896	881035	0	0
CEX-chr1-881551-881668	chr1	881551	881668	0	0
CEX-chr1-881780-881927	chr1	881780	881927	0	0
CEX-chr1-883509-883614	chr1	883509	883614	0	0
CEX-chr1-883868-883985	chr1	883868	883985	0	0
CEX-chr1-886505-886620	chr1	886505	886620	0	0
CEX-chr1-887378-887521	chr1	887378	887521	0	0
CEX-chr1-887790-887982	chr1	887790	887982	0	0
CEX-chr1-888553-888670	chr1	888553	888670	0	0
CEX-chr1-889160-889274	chr1	889160	889274	0	0
CEX-chr1-889382-889551	chr1	889382	889551	0	0
CEX-chr1-891299-891398	chr1	891299	891398	0	0
CEX-chr1-891473-891597	chr1	891473	891597	0	0
CEX-chr1-892272-892407	chr1	892272	892407	0	0
CEX-chr1-892477-892655	chr1	892477	892655	0	0
CEX-chr1-894011-894463	chr1	894011	894463	0	0
CEX-chr1-894558-894657	chr1	894558	894657	0	0
CEX-chr1-896021-896182	chr1	896021	896182	0	0
CEX-chr1-896601-896940	chr1	896601	896940	0	0
CEX-chr1-897007-897132	chr1	897007	897132	0	0
CEX-chr1-897204-897652	chr1	897204	897652	0	0
CEX-chr1-897733-897853	chr1	897733	897853	0	0
CEX-chr1-898082-898299	chr1	898082	898299	0	0
CEX-chr1-898412-898692	chr1	898412	898692	0	0
CEX-chr1-898715-898886	chr1	898715	898886	0	0
CEX-chr1-899295-899394	chr1	899295	899394	0	0
CEX-chr1-899474-899573	chr1	899474	899573	0	0
CEX-chr1-899707-899912	chr1	899707	899912	0	0
CEX-chr1-900341-900573	chr1	900341	900573	0	0
CEX-chr1-901904-902003	chr1	901904	902003	0	0
CEX-chr1-902082-902185	chr1	902082	902185	0	0
CEX-chr1-905655-905805	chr1	905655	905805	0	0
CEX-chr1-905832-905991	chr1	905832	905991	0	0
CEX-chr1-906064-906388	chr1	906064	906388	0	0
CEX-chr1-906416-906590	chr1	906416	906590	0	0
CEX-chr1-906695-906794	chr1	906695	906794	0	0
CEX-chr1-907443-907542	chr1	907443	907542	0	0
CEX-chr1-907666-907806	chr1	907666	907806	0	0
CEX-chr1-908239-908392	chr1	908239	908392	0	0
CEX-chr1-908564-908708	chr1	908564	908708	0	0
CEX-chr1-908878-909022	chr1	908878	909022	0	0
CEX-chr1-909211-909433	chr1	909211	909433	0	0
CEX-chr1-909671-909770	chr1	909671	909770	0	0
CEX-chr1-909820-909957	chr1	909820	909957	0	0
CEX-chr1-911500-911650	chr1	911500	911650	0	0
CEX-chr1-911878-912004	chr1	911878	912004	0	0
CEX-chr1-914255-916037	chr1	914255	916037	0	0
CEX-chr1-916426-916584	chr1	916426	916584	0	0
CEX-chr1-917421-917520	chr1	917421	917520	0	0
CEX-chr1-934426-934814	chr1	934426	934814	0	0
CEX-chr1-934834-935052	chr1	934834	935052	0	0
CEX-chr1-935060-935399	chr1	935060	935399	0	0
CEX-chr1-948846-949005	chr1	948846	949005	0	0
CEX-chr1-949362-949860	chr1	949362	949860	0	0
CEX-chr1-955442-955861	chr1	955442	955861	0	0
CEX-chr1-957530-957893	chr1	957530	957893	0	0
CEX-chr1-970606-970755	chr1	970606	970755	0	0
CEX-chr1-975994-976311	chr1	975994	976311	0	0
CEX-chr1-976502-977133	chr1	976502	977133	0	0
CEX-chr1-977285-977593	chr1	977285	977593	0	0
CEX-chr1-978568-979870	chr1	978568	979870	0	0
CEX-chr1-980490-980954	chr1	980490	980954	0	0
CEX-chr1-981062-981696	chr1	981062	981696	0	0
CEX-chr1-981726-982388	chr1	981726	982388	0	0
CEX-chr1-982656-982885	chr1	982656	982885	0	0
CEX-chr1-982902-983326	chr1	982902	983326	0	0
CEX-chr1-983341-983796	chr1	983341	983796	0	0
CEX-chr1-984196-984490	chr1	984196	984490	0	0
CEX-chr1-984565-984882	chr1	984565	984882	0	0
CEX-chr1-984895-985226	chr1	984895	985226	0	0
CEX-chr1-985232-985468	chr1	985232	985468	0	0
CEX-chr1-985562-986022	chr1	985562	986022	0	0
CEX-chr1-986055-986268	chr1	986055	986268	0	0
CEX-chr1-986368-986467	chr1	986368	986467	0	0
CEX-chr1-986582-987246	chr1	986582	987246	0	0
CEX-chr1-987335-987434	chr1	987335	987434	0	0
CEX-chr1-988807-988906	chr1	988807	988906	0	0
CEX-chr1-989082-989408	chr1	989082	989408	0	0
CEX-chr1-989777-989982	chr1	989777	989982	0	0
CEX-chr1-990153-990412	chr1	990153	990412	0	0
CEX-chr1-1007185-1007954	chr1	1007185	1007954	0	0
CEX-chr1-1018210-1018369	chr1	1018210	1018369	0	0
CEX-chr1-1019286-1019763	chr1	1019286	1019763	0	0
CEX-chr1-1019810-1019962	chr1	1019810	1019962	0	0
CEX-chr1-1020551-1020710	chr1	1020551	1020710	0	0
CEX-chr1-1021257-1021392	chr1	1021257	1021392	0	0
CEX-chr1-1022442-1022601	chr1	1022442	1022601	0	0
CEX-chr1-1022877-1022977	chr1	1022877	1022977	0	0
CEX-chr1-1025721-1025820	chr1	1025721	1025820	0	0
CEX-chr1-1026200-1026363	chr1	1026200	1026363	0	0
CEX-chr1-1026657-1026756	chr1	1026657	1026756	0	0
CEX-chr1-1026838-1026985	chr1	1026838	1026985	0	0
CEX-chr1-1027336-1027435	chr1	1027336	1027435	0	0
CEX-chr1-1078123-1078536	chr1	1078123	1078536	0	0
CEX-chr1-1102482-1102581	chr1	1102482	1102581	0	0
CEX-chr1-1103178-1103337	chr1	1103178	1103337	0	0
CEX-chr1-1104324-1104476	chr1	1104324	1104476	0	0
CEX-chr1-1111010-1111776	chr1	1111010	1111776	0	0
CEX-chr1-1114595-1114841	chr1	1114595	1114841	0	0
CEX-chr1-1114975-1115126	chr1	1114975	1115126	0	0
CEX-chr1-1115413-1115722	chr1	1115413	1115722	0	0
CEX-chr1-1115861-1115983	chr1	1115861	1115983	0	0
CEX-chr1-1116109-1116242	chr1	1116109	1116242	0	0
CEX-chr1-1117109-1117208	chr1	1117109	1117208	0	0
CEX-chr1-1117734-1117833	chr1	1117734	1117833	0	0
CEX-chr1-1118254-1118429	chr1	1118254	1118429	0	0
CEX-chr1-1119298-1119473	chr1	1119298	1119473	0	0
CEX-chr1-1120327-1120524	chr1	1120327	1120524	0	0
CEX-chr1-1131979-1132096	chr1	1131979	1132096	0	0
CEX-chr1-1132470-1132569	chr1	1132470	1132569	0	0
CEX-chr1-1132806-1133227	chr1	1132806	1133227	0	0
CEX-chr1-1138969-1139350	chr1	1138969	1139350	0	0
CEX-chr1-1139412-1139618	chr1	1139412	1139618	0	0
